"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"127377";"VIVÃO - TELECOM BR";"";"0.00";"0.00";"2026-05-27";"amber";"exposurelevel2";"0";"no";"yes";"0";"0";"0";"0";"30";"Telco's & Services";"Internet Service Provider";"Internet Service Provider";"null";"BR";"A Vivão é uma marca de telecomunicações no Brasil, focada em oferecer planos e soluções de conectividade com bom custo-benefício, praticidade e ofertas competitivas para o público brasileiro.";"https://ui.awin.com/images/upload/merchant/profile/127377.png";"https://vivao.com.br/"
"119233";"Sem Parar BR";"1.66386";"36.59";"0.67";"2026-03-16";"amber";"exposurelevel2";"31.5272";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Automotive";"Automotive";"78";"BR";"Sem Parar: 100% dos pedágios, estacionamentos e abastecimento. Conte com seguros e assistência auto sem burocracia. Com o Sem Parar, tá feito!";"https://ui.awin.com/images/upload/merchant/profile/119233.png";"https://www.semparar.com.br"
"61287";"Reserva BR";"4.23701";"89.99";"0.86";"2024-04-08";"amber";"exposurelevel2";"70.1535";"no";"yes";"0";"0";"0";"0";"7";"Retail & Shopping";"Childrenswear|Clothing|Menswear|Shoes|Womenswear";"Clothing";"84";"BR";"Reserva é uma marca de alta moda e streetwear brasileira, criada em 2004 e desde então desenvolve itens de moda masculina que prezam pela qualidade e conforto.";"https://ui.awin.com/images/upload/merchant/profile/61287.png";"https://www.usereserva.com/"
"114180";"Sinocare";"4.81336";"73.13";"0.13";"2025-03-21";"amber";"exposurelevel4";"53.0674";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"FMCG|Gadgets|Green (Eco friendly)|Health & Beauty|Lead Gen|Pharmaceuticals|Sports Equipment";"Health & Beauty";"78";"ES";"Sinocare is a leading provider of blood glucose monitoring devices, helping millions manage their health worldwide. By partnering with us, you help your audience access reliable, high-quality health monitoring products while growing your revenue.";"https://ui.awin.com/images/upload/merchant/profile/114180.png";"https://en.sinocare.com/"
"117985";"OQVESTIR BR";"2.57208";"65.14";"1.03";"2025-07-16";"amber";"exposurelevel2";"51.322";"yes";"yes";"0";"0";"0";"0";"15";"Retail & Shopping";"Clothing";"Clothing";"71";"BR";"OQVestir é o primeiro e-commerce de moda do Brasil, fundado em 2009. Com mais de 15 anos de mercado e curadoria especializada, oferece diariamente um catálogo com mais de 300 marcas nacionais e internacionais, nos segmentos feminino, masculino, calçados e";"https://ui.awin.com/images/upload/merchant/profile/117985.png";"https://www.oqvestir.com.br/"
"119869";"Lojas Lebes BR";"2.27875";"82.19";"2.95";"2025-11-25";"amber";"exposurelevel2";"60.8938";"no";"no";"0";"0";"0";"0";"30";"";"";"";"77";"BR";"A Lebes é uma das maiores redes de varejo do Sul do Brasil, fundada em 1956. Com mais de 300 lojas distribuídas nos estados do Rio Grande do Sul, Santa Catarina e Paraná, a empresa atua nos segmentos de moda, móveis, eletrodomésticos, eletrônicos e serviç";"https://ui.awin.com/images/upload/merchant/profile/119869.png";"https://www.lebes.com.br/"
"111310";"Phyto (BR)";"6.27451";"47.06";"2.05";"2025-02-17";"amber";"exposurelevel2";"0";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"null";"BR";"Desde 1969 cuidando da saúde do ecossistema capilar através do poder das plantas, a PHYTO trata o seu cabelo da raiz às pontas, com produtos com em média 95% de ingredientes naturais.";"https://ui.awin.com/images/upload/merchant/profile/111310.png";"https://www.phytoparis.com.br/"
"124920";"Loja Ybera BR";"4.79213";"100.00";"1.00";"2026-04-02";"amber";"exposurelevel2";"89.2259";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"52";"BR";"A Ybera se consolidou como uma das marcas mais reconhecidas do mundo em tratamentos capilares profissionais e nasceu com o propósito de criar produtos que unissem tecnologia, performance e cuidado real com os fios.";"https://ui.awin.com/images/upload/merchant/profile/124920.png";"https://www.lojaybera.com.br/"
"107702";"Clovis Calçados BR";"3.81547";"97.50";"0.60";"2024-11-28";"amber";"exposurelevel2";"56.4182";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Shoes";"Shoes";"61";"BR";"Na Clovis Calçados você encontra: Calçados Femininos, Calçados Masculinos, Calçados Infantis Femininos, Calçados Infantis Masculinos e acessórios diversos.Oferecemos variedade de produtos e marcas com qualidade, preço baixo e entrega rápida.";"https://ui.awin.com/images/upload/merchant/profile/107702.png";"https://www.clovis.com.br/"
"82935";"UniqPaid.com";"0.591716";"0.43";"0.01";"2025-08-12";"green";"none";"0";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Lead Gen";"Lead Gen";"null";"US";"UniqPaid.com - Online Rewards Program! Our members earn Real Cash by Signing Up for Free Offers, Visiting sites, Reading Emails, Shoping Online and more... We pay $1.50 per new user who signs up and confirms his e-mail. The member must complete";"https://ui.awin.com/images/upload/merchant/profile/82935.png";"https://www.uniqpaid.com"
"84621";"OUI BR";"2.12918";"89.36";"0.89";"2024-11-13";"green";"none";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"52";"BR";"A O.U.i Paris é uma marca de alta perfumaria do Grupo Boticário, criada em parceria com perfumistas e designers franceses. A marca é inspirada na cidade de Paris, conhecida por suas fragrâncias icônicas, e tem como objetivo enaltecer o estilo de vida dos";"https://ui.awin.com/images/upload/merchant/profile/84621.png";"https://www.ouiparis.com/"
"17891";"Loccitane en Provence BR";"3.36279";"90.84";"1.40";"2020-06-10";"green";"none";"68.3818";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"46";"BR";"L'Occitane é uma marca que transmite o estilo de vida do Mediterrâneo e as tradições provençais em produtos de alta-qualidade.";"https://ui.awin.com/images/upload/merchant/profile/17891.png";"https://br.loccitane.com/"
"23093";"Temptation Experience (US)";"0.512519";"80.65";"0.32";"2021-05-24";"green";"none";"36.8345";"no";"yes";"0";"0";"0";"0";"365";"Travel";"Airlines|Cruises/Ferries|Hotels & Accommodation|Lead Gen|Travel Agencies";"Hotels & Accommodation";"513";"US";"Why Partner With Us?High CommissionsEarn 5% commission on every sale — transparent, competitive, and built to scale with your performance.Exceptional Earnings PotentialOur affiliates benefit from an average order value (AOV) of $2,650 USD.";"https://ui.awin.com/images/upload/merchant/profile/23093.png";"https://www.temptation-experience.com/?affiliate=4371&partner=10250"
"17762";"Madeira Madeira BR";"6.63897";"86.69";"1.26";"2021-08-10";"amber";"exposurelevel2";"65.1109";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Department Stores";"Department Stores";"74";"BR";"Loja de móveis e construção";"https://ui.awin.com/images/upload/merchant/profile/17762.png";"https://www.madeiramadeira.com.br/"
"30275";"Luuna BR";"1.07717";"55.13";"0.68";"2022-06-30";"green";"none";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Home & Garden";"Home & Garden";"128";"BR";"Faça parte da família Luuna e participe do nosso programa de afiliados. Use sua voz para nos ajudar a promover um bom descanso e um melhor despertar em todo o Brasil. Juntos vamos mudar a qualidade do descanso, passo a passo, detalhe por detalhe.";"https://ui.awin.com/images/upload/merchant/profile/30275.png";"https://www.luuna.com.br/"
"17659";"oBoticario BR";"0.00500927";"92.06";"0.83";"2020-05-07";"green";"none";"0";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"43";"BR";"O Boticário é uma rede de franquias de cosméticos e perfumes brasileira. Seus principais produtos são fragrâncias, cremes e produtos para maquiagem.";"https://ui.awin.com/images/upload/merchant/profile/17659.png";"https://www.boticario.com.br/"
"17837";"Eudora BR";"2.67876";"78.16";"1.04";"2020-05-05";"green";"none";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"42";"BR";"Eudora é uma marca feminina com diversos tipos de produtos como: perfumes, maquiagem, acessórios, cabelos, corpo e banho.";"https://ui.awin.com/images/upload/merchant/profile/17837.png";"https://www.eudora.com.br"
"114398";"Descorcha BR";"2.41634";"81.91";"0.83";"2025-08-13";"amber";"exposurelevel2";"39.3611";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Wine Spirits & Tobacco";"Wine, Spirits & Tobacco";"100";"BR";"Com uma proposta inovadora e apaixonada pelo mundo do vinho, a Descorcha nasceu para aproximar os brasileiros do universo da Concha y Toro, uma das vinícolas mais renomadas da América Latina.";"https://ui.awin.com/images/upload/merchant/profile/114398.png";"https://descorcha.com/br/"
